Close,PortfolioValue
126.720001,999993.1887999463
126.735,999987.0217506962
126.169998,999931.6499413038
126.319999,999944.2103703576
126.069999,999894.4341079114
126.660003,1000014.4769927501
125.785003,999781.9660488389
125.589996,999716.5184795539
125.730003,999757.9228998927
125.739997,999755.032053054
125.839996,999791.267723269
125.998298,999859.3721607514
125.830001,999765.7675461977
126.0,999854.0244871977
126.599998,1000208.4185333052
126.944999,1000424.120884609
126.824996,1000334.741977074
126.989997,1000448.5319957351
126.629997,1000163.0856333964
126.699996,1000213.4646916114
127.0867,1000539.1992214862
127.121101,1000563.4305653077
127.110099,1000546.1905054864
127.379997,1000806.2729526478
127.735,1001165.7702923976
128.289993,1001755.492180274
128.119995,1001558.5479665427
128.029998,1001447.1798371503
127.937301,1001328.6960192217
127.769996,1001113.1990469367
127.980003,1001377.2291517755
128.026,1001431.6617552753
128.086395,1001507.8806315442
128.429992,1001988.541662474
128.429992,1001981.6385504041
128.065002,1001425.4451065466
127.944999,1001232.8034188505
127.940002,1001217.9764167429
127.919998,1001178.4141808506
127.779998,1000936.7660059578
127.599899,1000620.137231387
127.230003,999961.1719707256
127.120002,999755.6774646179
127.230003,999952.2307009569
127.220001,999926.468841903
127.455001,1000374.3431355994
127.334999,1000130.1349234029
127.260101,999971.9258349743
127.318603,1000085.8305880629
127.389999,1000229.414747617
127.417198,1000281.0439232243
127.36,1000148.7631092244
127.419998,1000276.0698123319
127.191001,999747.349133028
126.769996,998762.9616357435
126.589996,998330.4574234579
126.720001,998636.6982634042
127.080001,999512.2277133504
126.529998,998133.7192439579
125.724998,996084.6765253153
125.748802,996139.3318472082
125.644599,995859.2539810119
125.801803,996271.5979981006
125.910003,996557.9441354391
126.010002,996826.368345832
126.473396,998114.7566307969
126.699996,998751.0373060119
126.459999,998052.8087240651
126.3535,997734.6141474401
126.235,997376.23951619
125.985,996616.96782244
125.830001,996136.9925128862
125.86,996223.1044418863
125.474998,995007.8388827435
125.370002,994667.002973136
125.639999,995530.99014819
125.809997,996079.781324852
126.379997,997960.2584000122
125.669998,995572.1669916201
125.7499,995836.8350284942
125.86,996208.8140534947
126.300003,997734.5558773342
126.68,999067.6162493334
127.370002,1001523.3872497259
127.385002,1001570.7203058695
127.339996,1001399.3788510847
127.109901,1000541.6553839045
126.949996,999936.6272166206
126.800003,999362.2382044593
126.769996,999240.587528175
126.490097,998150.5795554592
126.445198,997968.0933390674
